Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445081462440220125,000000F1,false,Rx,0,4,00,99,00,40,00,00,00,00,
18445081462440222602,00000120,false,Rx,0,5,00,00,00,00,00,00,00,00,
18445081462440224738,0000012A,false,Rx,0,8,17,00,00,00,B2,60,3F,00,
18445081462440227130,00000134,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440227472,00000138,false,Rx,0,5,00,00,00,00,02,00,00,00,
18445081462440227985,000000C9,false,Rx,0,8,00,00,00,00,00,40,08,00,
18445081462440228284,00000191,false,Rx,0,8,06,A0,06,A0,06,A0,00,00,
18445081462440228540,000001A1,false,Rx,0,7,00,10,00,00,00,00,00,00,
18445081462440228796,000001C3,false,Rx,0,8,06,A0,05,C1,00,00,00,00,
18445081462440229053,000001ED,false,Rx,0,8,01,90,00,00,00,00,00,00,
18445081462440229223,000001EF,false,Rx,0,4,00,00,00,00,00,00,00,00,
18445081462440229480,000002C3,false,Rx,0,6,05,C1,06,A0,06,A0,00,00,
18445081462440229608,000000F1,false,Rx,0,4,1C,99,00,40,00,00,00,00,
18445081462440229864,000002D1,false,Rx,0,6,00,00,00,00,00,00,00,00,
18445081462440229992,000002D3,false,Rx,0,2,00,00,00,00,00,00,00,00,
18445081462440230249,000003C1,false,Rx,0,8,07,65,04,80,00,00,00,00,
18445081462440230505,000003D1,false,Rx,0,8,00,40,80,00,00,00,00,00,
18445081462440230804,000003E9,false,Rx,0,8,80,00,20,00,80,00,00,00,
18445081462440232513,000001E1,false,Rx,0,5,00,00,14,00,00,00,00,00,
18445081462440234392,000003F9,false,Rx,0,8,80,00,00,00,4E,00,0B,00,
18445081462440234521,000003FB,false,Rx,0,2,00,37,00,00,00,00,00,00,
18445081462440234820,000004C1,false,Rx,0,8,00,C9,3F,3A,50,00,00,00,
18445081462440235033,000004D1,false,Rx,0,8,00,00,02,03,1E,87,00,00,
18445081462440235332,000004F1,false,Rx,0,8,01,EE,01,EE,00,6B,00,00,
18445081462440235546,000001F1,false,Rx,0,8,85,02,00,00,08,00,00,62,
18445081462440235802,00000772,false,Rx,0,7,00,00,00,00,00,00,00,00,
18445081462440237682,000001F3,false,Rx,0,2,00,00,00,00,00,00,00,00,
18445081462440239689,000000F1,false,Rx,0,4,28,99,00,40,00,00,00,00,
18445081462440240117,000003C9,false,Rx,0,8,00,00,00,00,00,00,00,00,
