Time [s],crank,cam,Channel 2
0.000000000,1,0,1
0.003546500,0,0,1
0.010181500,0,1,1
0.015038000,1,1,1
0.037515000,0,1,1
0.045990500,1,1,1
0.058416500,0,1,1
0.065620000,1,1,1
0.077195000,0,1,1
0.084421000,1,1,1
0.097229500,0,1,1
0.104883000,1,1,1
0.114576500,1,1,0
0.119353000,0,1,0
0.123229500,0,0,0
0.127442000,1,0,0
0.130855500,1,0,1
0.143628000,0,0,1
0.147766000,0,1,1
0.152249000,1,1,1
0.169764500,1,0,1
0.170673000,0,0,1
0.176129500,1,0,1
0.180672000,0,0,1
0.184274500,0,1,1
0.189224000,1,1,1
0.202302500,0,1,1
0.211780000,1,1,1
0.233072500,0,1,1
0.242891500,1,1,1
0.264470500,0,1,1
0.274583000,1,1,1
0.290577500,1,1,0
0.297473500,0,1,0
0.303271500,0,0,0
0.308149500,1,0,0
0.314729000,1,0,1
0.334103000,0,0,1
0.340477500,0,1,1
0.345474500,1,1,1
0.367552000,0,1,1
0.375806500,1,1,1
0.387396000,0,1,1
0.394348500,1,1,1
0.404942500,0,1,1
0.411881500,1,1,1
0.424075000,0,1,1
0.431887500,1,1,1
0.444132500,1,1,0
0.453012000,0,1,0
0.458346500,0,0,0
0.464585500,1,0,0
0.469571000,1,0,1
0.488518000,0,0,1
0.495122000,0,1,1
0.499566000,1,1,1
0.521907000,0,1,1
0.526389500,1,1,1
0.529749000,0,1,1
0.536251500,1,1,1
0.543629500,0,1,1
0.550492000,1,1,1
0.563856500,0,1,1
0.571568500,1,1,1
0.587624500,0,1,1
0.597323500,1,1,1
0.613812500,1,1,0
0.621960000,0,1,0
0.627282000,0,0,0
0.633202500,1,0,0
0.639113000,1,0,1
0.659112500,0,0,1
0.665928000,0,1,1
0.670562500,1,1,1
0.693027500,0,1,1
0.701450500,1,1,1
0.713834500,0,1,1
0.721025500,1,1,1
0.732544500,0,1,1
0.739745500,1,1,1
0.752530500,0,1,1
0.760184000,1,1,1
0.769825000,1,1,0
0.774585000,0,1,0
0.778482000,0,0,0
0.782682500,1,0,0
0.786047500,1,0,1
0.798743000,0,0,1
0.802907500,0,1,1
0.807311000,1,1,1
0.824722500,1,0,1
0.825584000,0,0,1
0.830985000,1,0,1
0.835477000,0,0,1
0.839085000,0,1,1
0.843936500,1,1,1
0.857004000,0,1,1
0.866512500,1,1,1
0.888014000,0,1,1
0.897862500,1,1,1
0.919390000,0,1,1
0.929499500,1,1,1
0.945691000,1,1,0
0.952512000,0,1,0
0.958440000,0,0,0
0.963202000,1,0,0
0.969978000,1,0,1
0.989241000,0,0,1
0.995694000,0,1,1
1.000648000,1,1,1
1.022866500,0,1,1
1.031151500,1,1,1
1.042750500,0,1,1
1.049737500,1,1,1
1.060330500,0,1,1
1.067269000,1,1,1
1.079458500,0,1,1
1.087260000,1,1,1
1.099517000,1,1,0
1.108189000,0,1,0
1.113620000,0,0,0
1.119598000,1,0,0
1.124870500,1,0,1
1.143675000,0,0,1
1.150323000,0,1,1
1.154725000,1,1,1
1.176984000,0,1,1
1.181440500,1,1,1
1.184782500,0,1,1
1.191258000,1,1,1
1.198598000,0,1,1
1.205444000,1,1,1
1.218758500,0,1,1
1.226453000,1,1,1
1.242525500,0,1,1
1.252264000,1,1,1
1.268853500,1,1,0
1.276913500,0,1,0
1.282328500,0,0,0
1.288177500,1,0,0
1.294205000,1,0,1
1.314190500,0,0,1
1.321090500,0,1,1
1.325652000,1,1,1
1.347930000,0,1,1
1.356322000,1,1,1
1.368601500,0,1,1
1.375724000,1,1,1
1.387150000,0,1,1
1.394308500,1,1,1
1.406881500,0,1,1
1.414466000,1,1,1
1.423936500,1,1,0
1.428571000,0,1,0
1.432431500,0,0,0
1.436545000,1,0,0
1.439846000,1,0,1
1.452233500,0,0,1
1.456320500,0,1,1
1.460682500,1,1,1
1.477673000,1,0,1
1.478467000,0,0,1
1.483734000,1,0,1
1.488125500,0,0,1
1.491692000,0,1,1
1.496450500,1,1,1
1.509162500,0,1,1
1.518724500,1,1,1
1.540447000,0,1,1
1.550254500,1,1,1
1.571880500,0,1,1
1.581935500,1,1,1
1.598120500,1,1,0
1.604923000,0,1,0
1.610879000,0,0,0
1.615597000,1,0,0
1.622321000,1,0,1
1.641626000,0,0,1
1.648099500,0,1,1
1.653015500,1,1,1
1.675229000,0,1,1
1.683531500,1,1,1
1.695131500,0,1,1
