Time [s],crank,cam,Channel 2
0.000000000,0,1,1
1.243081500,1,1,1
1.264901500,0,1,1
1.280666500,1,1,1
1.308186500,1,1,0
1.319188500,0,1,0
1.327319000,0,0,0
1.332997000,1,0,0
1.342669500,1,0,1
1.368437500,0,0,1
1.376540000,0,1,1
1.381709500,1,1,1
1.410486000,0,1,1
1.416358000,1,1,1
1.420650000,0,1,1
1.428550500,1,1,1
1.438638000,0,1,1
1.447094000,1,1,1
1.466557000,0,1,1
1.476776000,1,1,1
1.502305000,0,1,1
1.513243500,1,1,1
1.530911000,1,1,0
1.539461500,0,1,0
1.545401500,0,0,0
1.551080500,1,0,0
1.558288000,1,0,1
1.580317500,0,0,1
1.587479500,0,1,1
1.592620500,1,1,1
1.616604000,0,1,1
1.625339000,1,1,1
1.638120000,0,1,1
1.645535000,1,1,1
1.657442500,0,1,1
1.664949500,1,1,1
1.679322000,0,1,1
1.688282500,1,1,1
1.705690000,1,1,0
1.712482500,0,1,0
1.719144000,0,0,0
1.723305500,1,0,0
1.731276500,1,0,1
1.751292000,0,0,1
1.758188000,0,1,1
1.762995500,1,1,1
1.784784500,1,0,1
1.785682000,0,0,1
1.789899500,1,0,1
1.793023500,0,0,1
1.795247000,0,1,1
1.799169000,1,1,1
1.805646500,0,1,1
1.812171000,1,1,1
1.823281000,0,1,1
1.830357500,1,1,1
1.842671500,0,1,1
1.850830000,1,1,1
1.864385000,1,1,0
1.872993500,0,1,0
1.877939000,0,0,0
1.885163500,1,0,0
1.890214500,1,0,1
1.910416500,0,0,1
1.916996500,0,1,1
1.922192500,1,1,1
1.944672500,0,1,1
1.953084000,1,1,1
1.964260500,0,1,1
1.971290500,1,1,1
1.981406500,0,1,1
1.988404000,1,1,1
1.999876500,0,1,1
2.007609000,1,1,1
2.018326500,1,1,0
2.026228500,0,1,0
2.032996000,0,0,0
2.037054000,1,0,0
2.043559000,1,0,1
2.063380000,0,0,1
2.069544000,0,1,1
2.074809000,1,1,1
2.096953000,0,1,1
2.101238000,1,1,1
2.104401000,0,1,1
2.110652500,1,1,1
2.117309500,0,1,1
2.123926000,1,1,1
2.135430000,0,1,1
2.142648000,1,1,1
2.155480000,0,1,1
2.163825000,1,1,1
2.177473500,1,1,0
2.185988000,0,1,0
