Time [s],crank,cam
0.000000000,0,0
1.407967000,1,0
1.412575333,0,0
1.512988333,0,1
1.533993250,1,1
1.537818750,0,1
1.551399333,0,0
1.610386167,1,0
1.614503833,0,0
1.691505417,1,0
1.694804417,0,0
1.756021167,1,0
1.759765333,0,0
1.795301917,0,1
1.808859833,0,0
1.818669500,0,1
1.829853750,1,1
1.832840333,0,1
1.845406333,0,0
1.889098917,1,0
1.892766750,0,0
1.963186667,1,0
1.966547000,0,0
2.023505417,1,0
2.027023417,0,0
2.084764333,0,1
2.095668500,1,1
2.098937000,0,1
2.153474833,1,1
2.157139667,0,1
2.224625417,1,1
2.279586917,0,1
2.282687667,1,1
2.286149750,0,1
2.295749000,0,0
2.319274583,0,1
2.332444750,0,0
2.341957000,0,1
2.352906667,1,1
2.368863167,1,0
2.406839500,0,0
2.410059417,1,0
2.413752667,0,0
2.480527833,1,0
2.535160250,0,0
2.538335000,1,0
2.541792250,0,0
2.597484417,0,1
2.608171750,1,1
2.611623833,0,1
2.643381333,1,1
2.643381417,0,1
2.665144000,1,1
2.668880833,0,1
2.711477917,1,1
2.730873000,0,1
2.732058833,1,1
2.736914167,1,0
2.748316250,1,1
2.755169833,1,0
2.760489417,1,1
2.765049000,0,1
2.766141250,1,1
2.789130417,0,1
2.790586750,1,1
2.831224000,0,1
2.832554250,1,1
2.863216917,0,1
2.865476333,1,1
2.868512250,0,1
2.898816917,0,0
2.914770167,0,1
2.924044833,1,1
2.970056083,0,1
2.972884333,1,1
2.976378250,0,1
3.017507750,1,1
3.036837750,0,1
3.038007083,1,1
3.042910083,1,0
3.054154417,1,1
3.060960667,1,0
3.066242000,1,1
3.070738083,0,1
3.071818167,1,1
3.094425667,0,1
3.095841250,1,1
3.135650250,0,1
3.136968083,1,1
3.166785333,0,1
3.168928500,1,1
3.171863917,0,1
3.200607333,0,0
3.216350083,0,1
3.225303667,1,1
3.269484750,0,1
3.272420250,1,1
3.276143167,0,1
3.315338667,1,1
3.334010917,0,1
3.335124833,1,1
3.339686000,1,0
3.350598583,1,1
3.357167167,1,0
3.362281667,1,1
3.366690667,0,1
3.367725583,1,1
3.389344667,0,1
3.390676583,1,1
3.428441833,0,1
3.429699500,1,1
3.457575250,0,1
3.459501417,1,1
3.488073167,1,0
3.502978833,1,1
3.509629917,0,1
3.511269583,1,1
3.552506167,0,1
3.555057917,1,1
3.558327583,0,1
3.597096333,1,1
3.615557167,0,1
3.616647667,1,1
3.621230833,1,0
3.631940583,1,1
3.638408583,1,0
3.643495500,1,1
3.647854917,0,1
3.648898333,1,1
3.670212333,0,1
3.671522250,1,1
3.708649750,0,1
3.709899000,1,1
3.737281667,0,1
3.739185083,1,1
3.767418417,1,0
3.781724750,1,1
3.788175417,0,1
3.789745833,1,1
3.830223333,0,1
3.832720667,1,1
3.836099167,0,1
3.874571583,1,1
3.893003083,0,1
3.894106083,1,1
3.898736083,1,0
3.909432167,1,1
3.915895333,1,0
3.920952833,1,1
3.925302667,0,1
3.926334833,1,1
3.947628667,0,1
3.948930333,1,1
3.985947833,0,1
3.987173083,1,1
4.014460250,0,1
4.016334500,1,1
4.044296500,1,0
4.058677167,1,1
4.065111583,0,1
4.066665333,1,1
4.107197417,0,1
4.109653250,1,1
4.113066000,0,1
4.151788417,1,1
4.170290000,0,1
4.171389667,1,1
4.176017917,1,0
4.186746167,1,1
4.193248500,1,0
4.198344750,1,1
4.202727833,0,1
4.203764250,1,1
4.225170000,0,1
4.226499917,1,1
4.263789833,0,1
4.265037917,1,1
4.292651833,0,1
4.294552250,1,1
4.322680667,1,0
4.337419917,1,1
4.344001583,0,1
4.345601917,1,1
4.387093583,0,1
4.389553000,1,1
4.392881333,0,1
4.433137833,1,1
4.451983000,0,1
4.452166083,1,1
4.452166167,0,1
4.452172833,1,1
4.452172917,0,1
4.452173083,1,1
4.452173167,0,1
4.453102667,1,1
4.457902167,1,0
4.467969417,1,1
4.472759833,1,0
4.476389417,1,1
4.479284000,0,1
4.479982250,1,1
4.493196917,0,1
4.493930500,1,1
4.499005250,0,1
4.499005333,1,1
4.499016500,0,1
4.499016583,1,1
4.515829750,0,1
4.516568750,1,1
4.531071167,0,1
4.531911750,1,1
4.545058417,1,0
4.553097833,1,1
4.556373750,0,1
4.557206750,1,1
4.573677667,0,1
4.574648333,1,1
4.600578083,0,1
4.601307250,1,1
4.615070333,0,1
4.615837500,1,1
4.619186083,1,0
4.623741000,1,1
4.623741083,1,0
4.626830500,1,1
4.631575833,1,0
4.635478667,1,1
4.638610917,0,1
4.639382417,1,1
4.654410083,0,1
4.655252750,1,1
4.680692750,0,1
4.681555000,1,1
4.699137333,0,1
4.700195167,1,1
4.716542833,1,0
4.726085667,1,1
4.730155667,0,1
4.731149667,1,1
4.751732917,0,1
4.753013500,1,1
4.780864833,0,1
4.781607500,1,1
4.794264833,0,0
4.794264917,1,1
4.795852500,0,1
4.796655000,1,1
4.799938083,1,0
4.807462000,1,1
4.811146583,1,0
4.814289917,1,1
4.816637500,0,1
4.817220417,1,1
4.828314417,0,1
4.828930083,1,1
4.829885000,1,0
4.829885167,1,1
4.847388667,0,1
4.848019000,1,1
4.860223000,0,1
4.860907750,1,1
4.871863917,1,0
4.878702667,1,1
4.881487333,0,1
4.882191833,1,1
4.895895000,0,1
4.896667333,1,1
4.916935333,0,1
4.917545833,1,1
4.929229333,0,1
4.929876250,1,1
4.932515000,1,0
4.939028583,1,1
4.942438833,1,0
4.945386833,1,1
4.947611917,0,1
4.948163083,1,1
4.958593833,0,1
4.959135000,1,1
4.959135167,0,1
4.959135250,1,1
4.959135333,0,1
4.959137250,1,1
4.959137333,0,1
4.959147667,0,0
4.959147750,1,1
4.959147917,0,1
4.959165167,1,1
4.975790250,0,1
4.976318667,1,1
4.986294583,0,1
4.986843750,1,1
4.995686167,1,0
5.001215333,1,1
5.003420750,0,1
5.003992917,1,1
5.014895333,0,1
5.015487750,1,1
5.032199167,0,1
5.032730083,1,1
5.042814750,0,1
5.043369250,1,1
5.045564333,1,0
5.051342917,1,1
5.054468167,1,0
5.057143083,1,1
5.059223333,0,1
5.059734583,1,1
5.069360667,0,1
5.069885167,1,1
5.085028833,0,1
5.085525667,1,1
5.094775250,0,1
5.095279917,1,1
5.103279333,1,0
5.108483083,1,1
5.110551583,0,1
5.111077167,1,1
5.121026000,0,1
5.121567667,1,1
5.137175500,0,1
5.137685083,1,1
5.147247500,0,1
5.147764500,1,1
5.149518083,1,0
5.154913417,1,1
5.157957083,1,0
5.160548250,1,1
5.162911417,0,1
5.163406917,1,1
5.172710250,0,1
5.173209667,1,1
5.187986750,0,1
5.188475583,1,1
5.197594333,0,1
5.198088917,1,1
5.205443500,1,0
5.210452833,1,1
5.213124000,0,1
5.213643417,1,1
5.223420750,0,1
5.223956583,1,1
5.239736250,0,1
5.240260500,1,1
5.250045250,0,1
5.250575000,1,1
5.251544750,1,0
5.257070083,1,1
5.260243250,1,0
5.262980667,1,1
5.266260083,0,1
5.266772667,1,1
5.276468250,0,1
5.276998000,1,1
5.292731000,0,1
5.293255917,1,1
5.303053500,0,1
5.303584750,1,1
5.310461167,1,0
5.315870917,1,1
5.319772833,0,1
5.320332083,1,1
5.330891417,0,1
5.331469167,1,1
5.349047833,0,1
5.349643417,1,1
5.361143000,0,1
5.361782500,1,1
5.361862417,1,0
5.368368667,1,1
5.372201917,1,0
5.375627500,1,1
5.380960000,0,1
5.381624333,1,1
5.394283500,0,1
5.394976083,1,1
5.415209500,0,1
5.415873833,1,1
5.428326917,0,1
5.429016417,1,1
5.436626167,1,0
5.443635250,1,1
5.449863000,0,1
5.450579917,1,1
5.464448167,0,1
5.465211667,1,1
5.488349500,0,1
5.489140750,1,1
5.504225000,0,1
5.504358250,0,0
5.505059583,1,0
5.512956167,1,1
5.518366167,1,0
5.522663750,1,1
5.530444667,0,1
5.531322250,1,1
5.548388333,0,1
5.549343083,1,1
5.578470750,0,1
5.579481333,1,1
5.599703250,0,1
5.600863083,1,1
5.613502250,1,0
5.625513333,1,1
5.635928000,0,1
5.637168833,1,1
5.662280250,0,1
5.663742750,1,1
5.708168333,0,1
5.709755500,1,1
5.744244083,0,1
5.746437500,0,0
5.746451750,1,0
5.749438083,0,0
5.767138167,0,1
5.777321167,0,0
5.783728917,0,1
5.795299750,1,1
5.821039000,0,1
5.822586000,1,1
5.861519917,0,1
5.862624917,1,1
5.884537917,0,1
5.885846000,1,1
5.901784667,1,0
5.915793167,1,1
5.924838917,0,1
5.926193000,1,1
5.955136917,0,1
5.956934333,1,1
5.995743083,0,1
5.996788417,1,1
6.017019750,0,1
6.018163833,1,1
6.023177083,1,0
6.034594750,1,1
6.041873833,1,0
6.047578583,1,1
6.052390667,0,1
6.053552583,1,1
6.076735417,0,1
6.078094583,1,1
6.110354750,0,1
6.111283417,1,1
6.129063167,0,1
6.130092667,1,1
6.146305167,1,0
6.156164667,1,1
6.160428333,0,1
6.161478333,1,1
6.182521250,0,1
6.183760833,1,1
6.213550000,0,1
6.214415750,1,1
6.231174917,0,1
6.231421833,1,1
6.231422000,0,1
6.231422167,1,1
6.231422250,0,1
6.232113250,1,1
6.236114000,1,0
6.245220333,1,1
6.250018583,1,0
6.253887583,1,1
6.256970250,0,1
6.257719333,1,1
6.271807917,0,1
6.272591917,1,1
6.295279250,0,1
6.296002583,1,1
6.309539500,0,1
6.310278917,1,1
6.322266667,1,0
6.329823750,1,1
6.332916667,0,1
6.333708833,1,1
6.348903833,0,1
6.349751500,1,1
6.372568333,0,1
6.373273500,1,1
6.386710417,0,1
6.387457417,1,1
6.390531333,1,0
6.397979000,1,1
6.402074833,1,0
6.405508000,1,1
6.408195250,0,1
6.408853333,1,1
6.421201083,0,1
6.421419000,1,1
6.421419083,0,1
6.421880333,1,1
6.441431583,0,1
6.442052750,1,1
6.453822083,0,1
6.454471333,1,1
6.464879083,1,0
6.471532000,1,1
6.474189583,0,1
6.474876250,1,1
6.487988167,0,1
6.488711750,1,1
6.508950667,0,1
6.509597333,1,1
6.521857000,0,1
6.522536667,1,1
6.525384750,1,0
6.532172417,1,1
6.535985583,1,0
6.539242500,1,1
6.541747583,0,1
6.542374000,1,1
6.554080333,0,1
6.554723333,1,1
6.573178083,0,1
6.573773083,1,1
6.585059333,0,1
6.585670917,1,1
6.595579917,1,0
6.601998083,1,1
6.604540333,0,1
6.605184500,1,1
6.617664333,0,1
6.618363333,1,1
6.637816500,0,1
6.638448583,1,1
6.650382250,0,1
6.651038333,1,1
6.653654917,1,0
6.660149500,1,1
6.663888917,1,0
6.667171167,1,1
