Time [s],crank,cam
0.000000000,1,1
0.000059083,0,1
0.000428917,1,1
0.011682083,0,1
0.012067833,1,1
0.019197250,0,1
0.019583917,1,1
0.025610333,1,0
0.029477750,1,1
0.030947417,0,1
0.031325583,1,1
0.038389250,0,1
0.038773667,1,1
0.050017250,0,1
0.050393083,1,1
0.057379000,0,1
0.057751167,1,1
0.059314083,1,0
0.063168333,1,1
0.065375500,1,0
0.067336250,1,1
0.068854250,0,1
0.069223667,1,1
0.076147083,0,1
0.076519000,1,1
0.087775250,0,1
0.088150167,1,1
0.095284917,0,1
0.095664417,1,1
0.101701750,1,0
0.105557083,1,1
0.107021833,0,1
0.107399583,1,1
0.114468583,0,1
0.114846583,1,1
0.126092667,0,1
0.126468667,1,1
0.133448750,0,1
0.133828417,1,1
0.135397167,1,0
0.139258833,1,1
0.141473000,1,0
0.143426333,1,1
0.144930833,0,1
0.145303250,1,1
0.152223500,0,1
0.152596250,1,1
0.163842417,0,1
0.164223250,1,1
0.171350167,0,1
0.171734583,1,1
0.177763583,1,0
0.181626417,1,1
0.183086000,0,1
0.183465750,1,1
0.190531583,0,1
0.190908167,1,1
0.202139583,0,1
0.202517167,1,1
0.209501667,0,1
0.209875417,1,1
0.211400417,1,0
0.215304167,1,1
0.217523583,1,0
0.219468083,1,1
0.220978417,0,1
0.221348583,1,1
0.228272917,0,1
0.228638500,1,1
0.239881167,0,1
0.240258917,1,1
0.247388083,0,1
0.247771000,1,1
0.253726250,1,0
0.257655250,1,1
0.259123083,0,1
0.259497750,1,1
0.266562667,0,1
0.266938667,1,1
0.278176833,0,1
0.278546750,1,1
0.285532000,0,1
0.285905583,1,1
0.287457417,1,0
0.291334167,1,1
0.293540083,1,0
0.295499583,1,1
0.297011417,0,1
0.297378000,1,1
0.304294917,0,1
0.304667000,1,1
0.315905167,0,1
0.316286750,1,1
0.323417917,0,1
0.323799250,1,1
0.329803750,1,0
0.333687500,1,1
0.335148667,0,1
0.335525750,1,1
0.342587333,0,1
0.342963833,1,1
0.354202500,0,1
0.354569667,1,1
0.361545417,0,1
0.361925167,1,1
0.363456000,1,0
0.367356250,1,1
0.369573250,1,0
0.371525667,1,1
0.373025333,0,1
0.373394000,1,1
0.380310833,0,1
0.380678417,1,1
0.391908917,0,1
0.392295167,1,1
0.399423667,0,1
0.399805333,1,1
0.405867917,1,0
0.409698250,1,1
0.411154000,0,1
0.411534917,1,1
0.418601500,0,1
0.418974417,1,1
0.430216583,0,1
0.430584833,1,1
0.437569167,0,1
0.437943333,1,1
0.439471667,1,0
0.443373083,1,1
0.445584167,1,0
0.447553917,1,1
0.449050917,0,1
0.449416417,1,1
0.456333500,0,1
0.456704250,1,1
0.467941083,0,1
0.468321333,1,1
0.475447167,0,1
0.475834417,1,1
0.481865583,1,0
0.485718000,1,1
0.487187833,0,1
0.487566000,1,1
0.494625250,0,1
0.495003333,1,1
0.506235167,0,1
0.506613750,1,1
0.513594917,0,1
0.513967750,1,1
0.515496500,1,0
0.519384917,1,1
0.521599250,1,0
0.523560667,1,1
0.525073083,0,1
0.525438833,1,1
0.532357000,0,1
0.532726250,1,1
0.543962417,0,1
0.544340750,1,1
0.551468917,0,1
0.551848417,1,1
0.557902917,1,0
0.561725833,1,1
0.563192750,0,1
0.563571083,1,1
0.570632000,0,1
0.571004500,1,1
0.582242417,0,1
0.582612000,1,1
0.589591667,0,1
0.589964750,1,1
0.591481250,1,0
0.595414500,1,1
0.597621250,1,0
0.599567417,1,1
0.601061000,0,1
0.601433667,1,1
0.608346250,0,1
0.608714500,1,1
0.619943667,0,1
0.620326083,1,1
0.627453667,0,1
0.627833167,1,1
0.633856417,1,0
0.637713667,1,1
0.639175500,0,1
