Time [s],crank,cam
0.000000000,1,1
1.402375000,0,0
1.849929000,1,0
1.854707000,0,0
1.970717500,1,0
1.974638500,0,0
2.043252000,1,0
2.047216500,0,0
2.084152000,0,1
2.096801500,0,0
2.107019500,0,1
2.117698000,1,1
2.128450500,1,0
2.172401500,0,0
2.175582500,1,0
2.179501000,0,0
2.244207000,1,0
2.294577000,0,0
2.297526000,1,0
2.301084000,0,0
2.353729000,0,1
2.363373500,1,1
2.376879500,1,0
2.411795500,0,0
2.414625500,1,0
2.418391500,0,0
2.479995000,1,0
2.527702500,0,0
2.530479500,1,0
2.533956500,0,0
2.564780000,0,1
2.576387000,0,0
2.585602000,0,1
2.595342500,1,1
2.607464000,1,0
2.642806000,0,0
2.645518000,1,0
2.649232000,0,0
2.710342500,1,0
2.757411000,0,0
2.760154000,1,0
2.763586000,0,0
2.814810000,0,1
2.824360000,1,1
2.841551500,1,0
2.871275500,0,0
2.873980500,1,0
2.877656500,0,0
2.939255500,1,0
2.986886000,0,0
2.989632000,1,0
2.993014500,0,0
3.023511500,0,1
3.035153500,0,0
3.044229500,0,1
3.053954000,1,1
3.067012000,1,0
3.101375500,0,0
3.104117500,1,0
3.107859000,0,0
3.169046000,1,0
3.216750500,0,0
3.219528500,1,0
3.222954500,0,0
3.274793500,0,1
3.284463500,1,1
3.304039500,1,0
3.332236500,0,0
3.334979000,1,0
3.338688500,0,0
3.400117500,1,0
3.448025500,0,0
3.450738500,1,0
3.454162500,0,0
3.485052000,0,1
3.496928500,0,0
3.506158000,0,1
3.516102000,1,1
3.530189000,1,0
3.564084500,0,0
3.566837500,1,0
3.570652500,0,0
3.632233000,1,0
3.680059500,0,0
3.682795000,1,0
3.686226500,0,0
3.738641500,0,1
3.748568000,1,1
3.769412000,1,0
3.784639000,1,1
3.784639500,1,0
3.784640500,1,1
3.784641000,1,0
3.784650500,1,1
3.784651000,1,0
3.796987000,0,0
3.799856000,1,0
3.803567000,0,0
3.844313000,1,0
3.863205000,0,0
3.864319500,1,0
3.879902500,1,1
3.886220000,1,0
3.891600000,1,1
3.895833500,0,1
3.896865000,1,1
3.916239500,0,1
3.917370000,1,1
3.949485000,0,1
3.950551000,1,1
3.972398500,0,1
3.973735500,1,1
3.993177500,1,0
4.005862000,1,1
4.010807000,0,1
4.012027000,1,1
4.038140500,0,1
4.039831500,1,1
4.076866000,0,1
4.077713500,1,1
4.093706500,0,1
4.094629500,1,1
4.097606500,1,0
4.107536500,1,1
4.112929000,1,0
4.117503500,1,1
4.121137000,0,1
4.122013500,1,1
4.139596500,0,1
4.140614000,1,1
4.169834500,0,1
4.170797000,1,1
4.189718000,0,1
4.190811500,1,1
4.207140000,1,0
4.217718500,1,1
4.221342000,0,1
4.222205500,1,1
4.238289000,0,1
4.239180000,1,1
4.265338500,0,1
4.266203000,1,1
4.283503500,0,1
4.284500500,1,1
4.288219000,1,0
4.298631000,1,1
4.304462500,1,0
4.309393500,1,1
4.313336000,0,1
4.314291000,1,1
4.333510500,0,1
4.334642500,1,1
4.366769500,0,1
4.367812500,1,1
4.389272000,0,1
4.390559000,1,1
4.409634500,1,0
4.421750000,1,1
4.426453000,0,1
4.427605000,1,1
4.451753000,0,1
4.453401500,1,1
4.486566000,0,1
4.487394500,1,1
4.503292500,0,1
4.504211500,1,1
4.507253500,1,0
4.516830000,1,1
4.521532500,1,0
4.525227000,1,1
4.528100000,0,1
4.528768000,1,1
4.541577500,0,1
4.542287000,1,1
4.562270000,0,1
4.562872500,1,1
4.574243000,0,1
4.574875500,1,1
4.584414500,1,0
4.590412500,1,1
4.592507000,0,1
4.593043000,1,1
4.603224500,0,1
4.603783000,1,1
4.620429500,0,1
4.620977000,1,1
4.631194500,0,1
4.631757500,1,1
4.633769000,1,0
4.639841000,1,1
4.643181000,1,0
4.646202500,1,1
4.648411000,0,1
4.648956500,1,1
4.659212500,0,1
4.659780500,1,1
4.676469500,0,1
4.677017000,1,1
4.687266500,0,1
4.687827000,1,1
4.696325500,1,0
4.702252000,1,1
4.704260500,0,1
4.704787500,1,1
4.714634000,0,1
4.715175500,1,1
4.730038500,0,1
4.730506500,1,1
4.738250500,0,0
4.738251000,1,1
4.739352000,0,1
4.739839000,1,1
4.741664500,1,0
4.746799500,1,1
4.749408500,1,0
4.751802000,1,1
4.753559000,0,1
4.753989000,1,1
4.762229000,0,1
4.762669500,1,1
4.775518000,0,1
4.775929000,1,1
4.783679000,0,1
4.784106000,1,1
4.790583500,1,0
4.794796000,1,1
4.796339500,0,1
4.796731500,1,1
4.804152000,0,1
4.804553000,1,1
4.816176500,0,1
4.816552000,1,1
4.823639000,0,1
4.824022000,1,1
4.825420000,1,0
4.829608500,1,1
4.831774000,1,0
4.833730500,1,1
4.835218500,0,1
4.835579500,1,1
4.842421500,0,1
4.842794000,1,1
4.853633500,0,1
4.853991000,1,1
4.860628000,0,1
4.860979500,1,1
4.866522000,1,0
4.870193000,1,1
4.871499500,0,1
4.871850500,1,1
4.878304500,0,1
4.878648000,1,1
4.888817500,0,1
4.889151000,1,1
4.895394000,0,1
4.895722500,1,1
4.896945000,1,0
4.900608500,1,1
4.902540500,1,0
4.904247000,1,1
4.905564500,0,1
4.905885000,1,1
4.911935000,0,1
4.912258000,1,1
4.921823500,0,1
4.922132500,1,1
4.928007000,0,1
4.928321000,1,1
4.933115500,1,0
4.936462500,1,1
4.937614500,0,1
4.937920000,1,1
4.943646500,0,1
4.943953500,1,1
4.953016000,0,1
4.953312000,1,1
4.958891000,0,1
4.959188000,1,1
4.960387000,1,0
4.963549500,1,1
4.965304500,1,0
4.966870500,1,1
4.968034000,0,1
4.968319500,1,1
4.973781000,0,1
4.974072000,1,1
4.982709000,0,1
4.982999500,1,1
4.988330500,0,1
4.988613000,1,1
4.992982000,1,0
4.996006000,1,1
4.997066000,0,1
4.997340000,1,1
5.002563500,0,1
5.002841000,1,1
5.011121500,0,1
5.011394000,1,1
5.016508500,0,1
5.016782000,1,1
5.017845500,1,0
5.020769000,1,1
5.022367000,1,0
5.023833000,1,1
5.024898500,0,1
5.025168500,1,1
5.030197500,0,1
5.030460500,1,1
5.038441500,0,1
5.038705500,1,1
5.043644500,0,1
5.043904000,1,1
5.047962500,1,0
5.050744500,1,1
5.051735500,0,1
5.051991500,1,1
5.056846500,0,1
5.057102000,1,1
5.064815500,0,1
5.065067500,1,1
5.069837500,0,1
5.070091500,1,1
5.071067500,1,0
5.073800000,1,1
5.075305000,1,0
5.076666500,1,1
5.077669500,0,1
5.077915500,1,1
5.082613000,0,1
5.082860000,1,1
5.090337500,0,1
5.090583000,1,1
5.095215000,0,1
5.095457000,1,1
5.099262000,1,0
5.101908500,1,1
5.102816500,0,1
5.103060000,1,1
5.107624000,0,1
5.107868500,1,1
5.115147500,0,1
5.115382000,1,1
5.119882000,0,1
5.120124000,1,1
5.121051500,1,0
5.123639000,1,1
5.125055500,1,0
5.126355500,1,1
5.127286500,0,1
5.127525000,1,1
5.131973500,0,1
5.132206500,1,1
5.139289500,0,1
5.139520000,1,1
5.143916000,0,1
5.144144500,1,1
5.147771500,1,0
5.150257000,1,1
5.151135000,0,1
5.151360500,1,1
5.155703000,0,1
5.155932500,1,1
5.162853000,0,1
5.163081000,1,1
5.167373500,0,1
5.167601000,1,1
5.168476500,1,0
5.170950000,1,1
5.172298500,1,0
5.173539000,1,1
5.174435000,0,1
5.174661500,1,1
5.178910000,0,1
5.179135000,1,1
5.185916500,0,1
5.186135000,1,1
5.190337500,0,1
5.190564500,1,1
5.194043000,1,0
5.196467000,1,1
5.197342000,0,1
5.197565000,1,1
5.201828500,0,1
5.202052000,1,1
5.208840500,0,1
5.209064000,1,1
5.213269500,0,1
5.213495500,1,1
5.214357000,1,0
5.216773500,1,1
5.218094000,1,0
5.219317000,1,1
5.220196000,0,1
5.220415000,1,1
5.224582500,0,1
5.224799500,1,1
5.231439000,0,1
5.231658000,1,1
5.235780500,0,1
5.235997500,1,1
5.239377000,1,0
5.241732500,1,1
5.242547500,0,1
5.242765000,1,1
5.246835500,0,1
5.247055000,1,1
5.253559000,0,1
5.253771500,1,1
5.257810500,0,1
5.258021000,1,1
5.258879500,1,0
5.261169500,1,1
5.262445500,1,0
5.263627500,1,1
5.264458000,0,1
5.264672000,1,1
5.268677000,0,1
5.268891000,1,1
5.275297500,0,1
5.275504000,1,1
5.279488000,0,1
5.279694000,1,1
5.283003000,1,0
5.285247500,1,1
5.286032000,0,1
5.286242000,1,1
5.290195000,0,1
5.290403000,1,1
5.296714500,0,1
5.296921500,1,1
5.300842500,0,1
5.301048000,1,1
5.301847500,1,0
5.304097500,1,1
5.305341500,1,0
5.306484500,1,1
5.307302500,0,1
5.307507500,1,1
5.311407500,0,1
5.311611000,1,1
5.317841000,0,1
5.318043500,1,1
5.321911500,0,1
5.322117500,1,1
5.325315000,1,0
5.327510500,1,1
5.328293500,0,1
5.328493500,1,1
5.332342000,0,1
5.332545500,1,1
5.338695000,0,1
5.338895500,1,1
5.342712500,0,1
5.342917500,1,1
5.343676500,1,0
5.345887500,1,1
5.347095000,1,0
5.348218500,1,1
5.349012500,0,1
5.349216500,1,1
5.353024500,0,1
5.353221000,1,1
5.359299500,0,1
5.359498000,1,1
5.363278500,0,1
5.363477500,1,1
5.366585500,1,0
5.368749500,1,1
5.369511000,0,1
5.369707500,1,1
5.373467000,0,1
5.373668500,1,1
5.379683000,0,1
5.379878000,1,1
5.383617000,0,1
5.383813000,1,1
5.384555000,1,0
5.386719500,1,1
5.387907000,1,0
5.389011500,1,1
5.389780000,0,1
5.389978000,1,1
5.393703000,0,1
5.393899000,1,1
5.399848500,0,1
5.400043000,1,1
5.403745500,0,1
5.403939000,1,1
5.406974000,1,0
5.409113000,1,1
5.409851000,0,1
5.410044500,1,1
5.413727000,0,1
5.413924000,1,1
5.419821000,0,1
5.420011500,1,1
5.423673500,0,1
5.423870000,1,1
5.424629500,1,0
5.426719000,1,1
5.427888000,1,0
5.428966000,1,1
5.429731000,0,1
5.429921500,1,1
5.433575000,0,1
5.433769500,1,1
5.439610000,0,1
5.439803500,1,1
5.443443000,0,1
5.443631000,1,1
5.446585500,1,0
5.448726000,1,1
5.449445500,0,1
5.449635000,1,1
5.453256000,0,1
5.453447000,1,1
5.459243500,0,1
5.459437000,1,1
5.463042500,0,1
5.463232500,1,1
5.463984000,1,0
5.466032500,1,1
5.467190500,1,0
5.468254000,1,1
5.469003000,0,1
5.469192500,1,1
5.472789000,0,1
5.472977500,1,1
5.478733500,0,1
5.478920000,1,1
5.482500500,0,1
5.482688500,1,1
5.485606500,1,0
5.487692000,1,1
5.488414000,0,1
5.488603000,1,1
5.492168500,0,1
5.492357000,1,1
5.498069000,0,1
5.498261000,1,1
5.501815500,0,1
5.502002500,1,1
5.502740500,1,0
5.504770500,1,1
5.505912500,1,0
5.506963000,1,1
5.507693500,0,1
5.507878500,1,1
5.511429000,0,1
5.511612500,1,1
5.517290000,0,1
5.517476000,1,1
5.521014000,0,1
5.521197500,1,1
5.524074500,1,0
5.526150000,1,1
5.526857000,0,1
5.527040500,1,1
5.530565000,0,1
5.530748500,1,1
5.536396000,0,1
5.536581500,1,1
5.540096000,0,1
5.540282000,1,1
5.540974500,1,0
5.543015000,1,1
5.544144000,1,0
5.545184000,1,1
5.545909500,0,1
5.546091500,1,1
5.549595500,0,1
5.549783000,1,1
5.555397000,0,1
5.555583500,1,1
5.559086000,0,1
5.559265500,1,1
5.562057000,1,0
5.564160000,1,1
5.564862000,0,1
5.565046000,1,1
5.568532500,0,1
5.568717500,1,1
5.574311000,0,1
5.574493500,1,1
5.577979000,0,1
5.578158500,1,1
5.578834000,1,0
5.580853000,1,1
5.581978500,1,0
5.583009500,1,1
5.583731500,0,1
5.583913000,1,1
5.587392000,0,1
5.587571500,1,1
5.593138000,0,1
5.593321500,1,1
5.596788000,0,1
5.596972500,1,1
5.599805000,1,0
5.601819500,1,1
5.602520500,0,1
5.602705500,1,1
5.606169000,0,1
5.606348000,1,1
5.611897500,0,1
5.612078500,1,1
5.615537500,0,1
5.615716500,1,1
5.616446000,1,0
5.618393500,1,1
5.619507000,1,0
5.620534000,1,1
5.621245500,0,1
5.621428500,1,1
5.624880000,0,1
5.625060000,1,1
5.630586500,0,1
5.630771000,1,1
5.634217000,0,1
5.634397500,1,1
5.637192000,1,0
5.639228000,1,1
5.639908500,0,1
5.640091000,1,1
5.643529000,0,1
5.643709000,1,1
5.649227500,0,1
5.649405000,1,1
5.652841500,0,1
5.653021500,1,1
5.653728000,1,0
5.655682500,1,1
5.656784500,1,0
5.657806000,1,1
5.658516000,0,1
5.658697500,1,1
5.662128500,0,1
5.662308500,1,1
5.667808000,0,1
5.667986500,1,1
5.671415500,0,1
5.671592000,1,1
5.674380500,1,0
5.676396000,1,1
5.677100000,0,1
5.677282000,1,1
5.680738000,0,1
5.680916000,1,1
5.686446000,0,1
5.686631500,1,1
5.690079000,0,1
5.690258500,1,1
5.690966500,1,0
5.692924500,1,1
5.694036000,1,0
5.695064000,1,1
5.695777000,0,1
5.695954500,1,1
5.699395000,0,1
5.699577000,1,1
5.705092500,0,1
5.705272000,1,1
5.708710500,0,1
5.708889500,1,1
5.711701500,1,0
5.713696000,1,1
5.714391000,0,1
5.714568500,1,1
5.718002500,0,1
5.718177500,1,1
5.723678500,0,1
5.723859500,1,1
5.727288500,0,1
5.727469000,1,1
5.728122500,1,0
5.730118500,1,1
5.731223000,1,0
5.732244500,1,1
5.732958500,0,1
5.733136500,1,1
5.736566500,0,1
5.736743000,1,1
5.742236500,0,1
5.742416000,1,1
5.745841500,0,1
5.746020000,1,1
5.748790000,1,0
5.750823000,1,1
5.751503500,0,1
5.751683000,1,1
5.755103500,0,1
5.755285000,1,1
5.760774000,0,1
5.760954500,1,1
5.764381000,0,1
5.764557000,1,1
5.765244000,1,0
5.767207000,1,1
5.768308000,1,0
5.769328500,1,1
5.770032000,0,1
5.770214500,1,1
5.773637000,0,1
5.773814000,1,1
5.779295500,0,1
5.779479500,1,1
5.782899000,0,1
5.783078500,1,1
5.785841500,1,0
5.787865500,1,1
5.788553000,0,1
5.788734000,1,1
5.792148000,0,1
5.792330000,1,1
5.797818000,0,1
5.797998500,1,1
5.801422000,0,1
5.801600000,1,1
5.802279000,1,0
5.804238000,1,1
5.805345500,1,0
5.806369500,1,1
5.807075500,0,1
5.807254500,1,1
5.810671500,0,1
5.810853500,1,1
5.816337000,0,1
5.816518000,1,1
5.819940500,0,1
5.820117000,1,1
5.822902500,1,0
5.824898000,1,1
5.825595500,0,1
5.825774000,1,1
5.829195500,0,1
5.829373000,1,1
5.834864000,0,1
5.835043000,1,1
5.838466000,0,1
5.838645500,1,1
5.839342500,1,0
5.841287500,1,1
5.842394500,1,0
5.843416000,1,1
5.844126000,0,1
5.844304000,1,1
5.847726000,0,1
5.847905500,1,1
5.853397500,0,1
5.853578500,1,1
5.856997500,0,1
5.857182500,1,1
5.859951000,1,0
5.861978000,1,1
5.862665500,0,1
5.862845500,1,1
5.866271500,0,1
5.866451000,1,1
5.871950000,0,1
5.872130000,1,1
5.875556000,0,1
5.875736500,1,1
5.876432500,1,0
5.878388000,1,1
5.879492000,1,0
5.880516500,1,1
5.881223500,0,1
5.881405000,1,1
5.884834000,0,1
5.885013500,1,1
5.890518000,0,1
5.890696500,1,1
5.894126000,0,1
5.894307500,1,1
5.897115500,1,0
5.898930500,1,1
5.898931000,1,0
5.899111000,1,1
5.899799000,0,1
5.899982500,1,1
5.903418000,0,1
5.903596000,1,1
5.909106500,0,1
5.909287000,1,1
5.912724500,0,1
5.912902500,1,1
5.913590500,1,0
5.915553500,1,1
5.916667000,1,0
5.917685000,1,1
5.918404000,0,1
5.918585500,1,1
5.922025500,0,1
5.922203500,1,1
5.927723500,0,1
5.927905500,1,1
5.931346500,0,1
5.931527000,1,1
5.934285500,1,0
5.936341500,1,1
5.937035500,0,1
5.937220500,1,1
5.940669500,0,1
5.940847500,1,1
5.946383000,0,1
5.946560000,1,1
5.950007500,0,1
5.950189500,1,1
5.950866500,1,0
5.952854500,1,1
5.953961500,1,0
5.954990500,1,1
5.955710500,0,1
5.955895500,1,1
5.959351500,0,1
5.959530000,1,1
5.965069000,0,1
5.965252500,1,1
5.968708500,0,1
5.968889500,1,1
5.971685500,1,0
5.973733000,1,1
5.974429500,0,1
5.974610500,1,1
5.978076000,0,1
5.978255500,1,1
5.983807500,0,1
5.983993000,1,1
5.987456000,0,1
5.987639000,1,1
5.988313500,1,0
5.990316500,1,1
5.991441000,1,0
5.992470500,1,1
5.993190500,0,1
5.993376000,1,1
5.996850500,0,1
5.997030000,1,1
6.002599500,0,1
6.002781500,1,1
6.006254500,0,1
6.006437500,1,1
6.009292000,1,0
6.011305000,1,1
6.012009000,0,1
6.012193000,1,1
6.015677500,0,1
6.015858500,1,1
6.021449500,0,1
6.021632000,1,1
6.025119500,0,1
6.025300500,1,1
6.025980000,1,0
6.028000000,1,1
6.029120500,1,0
6.030160000,1,1
6.030889500,0,1
6.031072500,1,1
6.034568000,0,1
6.034750000,1,1
6.040355000,0,1
6.040541000,1,1
6.044040000,0,1
6.044223000,1,1
6.047069000,1,0
6.049118000,1,1
6.049829000,0,1
6.050018500,1,1
6.053526500,0,1
6.053710000,1,1
6.059337500,0,1
6.059523500,1,1
6.063038000,0,1
6.063218500,1,1
6.063927500,1,0
6.065933000,1,1
6.067064000,1,0
6.068111500,1,1
6.068850500,0,1
6.069036000,1,1
6.072557000,0,1
6.072738500,1,1
6.078382500,0,1
6.078570500,1,1
6.082097500,0,1
6.082279500,1,1
6.085139500,1,0
6.087221500,1,1
6.087933500,0,1
6.088120000,1,1
6.091651500,0,1
6.091838500,1,1
6.097510500,0,1
6.097696500,1,1
6.101234500,0,1
6.101421500,1,1
6.102126000,1,0
6.104165000,1,1
6.105304000,1,0
6.106363000,1,1
6.107097500,0,1
6.107284000,1,1
6.110832000,0,1
6.111018000,1,1
6.116713000,0,1
6.116898000,1,1
6.120453000,0,1
6.120640000,1,1
6.123572500,1,0
6.125630000,1,1
6.126353000,0,1
6.126540500,1,1
6.130120000,0,1
6.130309500,1,1
6.136058500,0,1
6.136246000,1,1
6.139834500,0,1
6.140022500,1,1
6.140734000,1,0
6.142803000,1,1
6.143956500,1,0
6.145029000,1,1
6.145778500,0,1
6.145969500,1,1
6.149564500,0,1
6.149755500,1,1
6.155530000,0,1
6.155722500,1,1
6.159330000,0,1
6.159516500,1,1
6.162484500,1,0
6.164561000,1,1
6.165295500,0,1
6.165486000,1,1
6.169099500,0,1
6.169288000,1,1
6.175094500,0,1
6.175284000,1,1
6.178908000,0,1
6.179096500,1,1
6.179823000,1,0
6.181903500,1,1
6.183062000,1,0
6.184138500,1,1
6.184904000,0,1
6.185094000,1,1
6.188722000,0,1
6.188913000,1,1
6.194736000,0,1
6.194928500,1,1
6.198562500,0,1
6.198755000,1,1
6.201737500,1,0
6.203848000,1,1
6.204580500,0,1
6.204776000,1,1
6.208424000,0,1
6.208610500,1,1
6.214459500,0,1
6.214653000,1,1
6.218305000,0,1
6.218495000,1,1
6.219269000,1,0
6.221330000,1,1
6.222500500,1,0
6.223586500,1,1
6.224347500,0,1
6.224541000,1,1
6.228198500,0,1
6.228392000,1,1
6.234266500,0,1
6.234460500,1,1
6.238131000,0,1
6.238322500,1,1
6.241370500,1,0
6.243457000,1,1
6.244201500,0,1
6.244395000,1,1
6.248069500,0,1
6.248262500,1,1
6.254159000,0,1
6.254357000,1,1
6.258040500,0,1
6.258231500,1,1
6.258976500,1,0
6.261087500,1,1
6.262261000,1,0
6.263350000,1,1
6.264132500,0,1
6.264328000,1,1
6.268019000,0,1
6.268210500,1,1
6.274132000,0,1
6.274329000,1,1
6.278030500,0,1
6.278223000,1,1
6.281216000,1,0
6.283407500,1,1
6.284158000,0,1
6.284355500,1,1
6.288070500,0,1
6.288264000,1,1
6.294222000,0,1
6.294422500,1,1
6.298140500,0,1
6.298337500,1,1
6.299148500,1,0
6.301224000,1,1
6.302407000,1,0
6.303502500,1,1
6.304306500,0,1
6.304498500,1,1
6.308231000,0,1
6.308424000,1,1
6.314407500,0,1
6.314603000,1,1
6.318339000,0,1
6.318536500,1,1
6.321599000,1,0
6.323768000,1,1
6.324523500,0,1
6.324721500,1,1
6.328461000,0,1
6.328660500,1,1
6.334677000,0,1
6.334871500,1,1
6.338625500,0,1
6.338821000,1,1
6.339580500,1,0
6.341732500,1,1
6.342931500,1,0
6.344051500,1,1
6.344848000,0,1
6.345047000,1,1
6.348820000,0,1
6.349016500,1,1
6.355069000,0,1
6.355270500,1,1
6.359050000,0,1
6.359250500,1,1
6.362382000,1,0
6.364548500,1,1
6.365299500,0,1
6.365504500,1,1
6.369290500,0,1
6.369488000,1,1
6.375568500,0,1
6.375768000,1,1
6.379562500,0,1
6.379762000,1,1
6.380544500,1,0
6.382705500,1,1
6.383918500,1,0
6.385036500,1,1
6.385840000,0,1
6.386042500,1,1
6.389847000,0,1
6.390042000,1,1
6.396141500,0,1
6.396346500,1,1
6.400158000,0,1
6.400358000,1,1
6.403508500,1,0
6.405697000,1,1
6.406472500,0,1
6.406670500,1,1
6.410495500,0,1
6.410695500,1,1
6.416840000,0,1
6.417042500,1,1
6.420877000,0,1
6.421076500,1,1
6.421842500,1,0
6.424041500,1,1
6.425269500,1,0
6.426400000,1,1
6.427221500,0,1
6.427423500,1,1
6.431266000,0,1
6.431468000,1,1
6.437641500,0,1
6.437841000,1,1
6.441689500,0,1
6.441893500,1,1
6.445044500,1,0
6.447276500,1,1
6.448061000,0,1
6.448268000,1,1
6.452129000,0,1
6.452330500,1,1
6.458525000,0,1
6.458733000,1,1
6.462598000,0,1
6.462800500,1,1
6.463610000,1,0
6.465804000,1,1
6.467031000,1,0
6.468169500,1,1
6.469001000,0,1
6.469202500,1,1
6.473082500,0,1
6.473283500,1,1
6.479511000,0,1
6.479717000,1,1
6.483605000,0,1
6.483806000,1,1
6.487021500,1,0
6.489261500,1,1
6.490037000,0,1
6.490246000,1,1
6.494148500,0,1
6.494353000,1,1
6.500626000,0,1
6.500832500,1,1
6.504743000,0,1
6.504949000,1,1
6.505787000,1,0
6.507985500,1,1
6.509234500,1,0
6.510387000,1,1
