Time [s],crank,cam
0.000000000,1,1
1.383760000,0,1
1.383760500,0,0
1.570719000,1,0
1.570719500,0,0
1.706511000,1,0
1.712824500,0,0
1.808120500,1,0
1.812402500,0,0
1.891107000,0,1
1.909301500,1,1
1.913064500,0,1
1.920433500,0,0
1.976976000,1,0
1.980911000,0,0
2.050120500,1,0
2.103953500,0,0
2.107113000,1,0
2.110670000,0,0
2.142982000,0,1
2.154865000,0,0
2.164502000,0,1
2.174490500,1,1
2.185407500,1,0
2.224353500,0,0
2.227289000,1,0
2.231057500,0,0
2.294290500,1,0
2.343763500,0,0
2.346650500,1,0
2.350167500,0,0
2.402104000,0,1
2.411832000,1,1
2.425638000,1,0
2.460113500,0,0
2.462834500,1,0
2.466487000,0,0
2.528234500,1,0
2.576431000,0,0
2.579190500,1,0
2.582582500,0,0
2.613105500,0,1
2.624758000,0,0
2.633973000,0,1
2.643711000,1,1
2.655654000,1,0
2.691215000,0,0
2.693896000,1,0
2.697592500,0,0
2.759310000,1,0
2.807198000,0,0
2.809944000,1,0
2.813339500,0,0
2.864875000,0,1
2.874688000,1,1
2.890199500,1,0
2.922249500,0,0
2.925029500,1,0
2.928700500,0,0
2.989835500,1,0
3.037659000,0,0
3.040422500,1,0
3.043760500,0,0
3.074195500,0,1
3.085822500,0,0
3.094942500,0,1
3.104749000,1,1
3.117995000,1,0
3.152185000,0,0
3.154899500,1,0
3.158556000,0,0
3.220707000,1,0
3.268800000,0,0
3.271582500,1,0
3.274992000,0,0
3.281101500,1,0
3.281102000,0,0
3.326837000,0,1
3.336694500,1,1
3.354937500,1,0
3.384716000,0,0
3.387432000,1,0
3.391069000,0,0
3.453404000,1,0
3.501854500,0,0
3.504699500,1,0
3.508119500,0,0
3.538902500,0,1
3.550896000,0,0
3.560204000,0,1
3.570146500,1,1
3.583884500,1,0
3.618394000,0,0
3.621104000,1,0
3.624758500,0,0
3.687269000,1,0
3.735994000,0,0
3.738751500,1,0
3.742108000,0,0
3.795130000,0,1
3.805189500,1,1
3.826236000,1,0
3.854408500,0,0
3.857535000,1,0
3.861315000,0,0
3.900819000,1,0
3.919069500,0,0
3.920155500,1,0
3.934980500,1,1
3.941322000,1,0
3.946525500,1,1
3.950661500,0,1
3.951661500,1,1
3.971137500,0,1
3.972268500,1,1
4.004800500,0,1
4.005876500,1,1
4.028190000,0,1
4.029560000,1,1
4.049364500,1,0
4.062447500,1,1
4.067501000,0,1
4.068739500,1,1
4.095435000,0,1
4.097177000,1,1
4.135931500,0,1
4.136793500,1,1
4.153302000,0,1
4.154278000,1,1
4.157158000,1,0
4.167479000,1,1
4.173192000,1,0
4.177890000,1,1
4.181697000,0,1
4.182612000,1,1
4.200968000,0,1
4.202042000,1,1
4.232721000,0,1
4.233746000,1,1
4.253411500,0,1
4.254560000,1,1
4.271406500,1,0
4.282652500,1,1
4.286904000,0,1
4.287904000,1,1
4.306401000,0,1
4.307442500,1,1
4.337474500,0,1
4.338469000,1,1
4.358653000,0,1
4.359879000,1,1
4.363938000,1,0
4.376512500,1,1
4.383528500,1,0
4.389200500,1,1
4.393766000,0,1
4.394869500,1,1
4.417785000,0,1
4.419217000,1,1
4.458239500,0,1
4.459494500,1,1
4.486500500,0,1
4.488268000,1,1
4.513770000,1,0
4.528706000,1,1
4.534719500,0,1
4.536211500,1,1
4.572384500,0,1
4.574394000,1,1
4.611810000,0,1
4.612692500,1,1
4.629783500,0,1
4.630770000,1,1
4.633930500,1,0
4.644025500,1,1
4.648375500,1,0
4.651857500,1,1
4.654515500,0,1
4.655163000,1,1
4.667384000,0,1
4.668057500,1,1
4.688112500,0,1
4.688792000,1,1
4.701917500,0,1
4.702651500,1,1
4.713949000,1,0
4.721530500,1,1
4.724465500,0,1
4.725203000,1,1
4.739547500,0,1
4.740350000,1,1
4.761451000,0,1
4.762057500,1,1
4.773604500,0,1
4.774241000,1,1
4.776504500,1,0
4.783362000,1,1
4.787172000,1,0
4.790420500,1,1
4.792790500,0,1
4.793369500,1,1
4.804217000,0,1
4.804817000,1,1
4.822245500,0,1
4.822791000,1,1
4.832956000,0,1
4.833511000,1,1
4.841888500,1,0
4.847891500,1,1
4.849997000,0,1
4.850531500,1,1
4.860578500,0,1
4.861123500,1,1
4.877487500,0,1
4.878045500,1,1
4.888572000,0,1
4.889146500,1,1
4.891216000,1,0
4.897505000,1,1
4.900936000,1,0
4.904073000,1,1
4.906389500,0,1
4.906971500,1,1
4.918033000,0,1
4.918653500,1,1
4.936711500,0,1
4.937312000,1,1
4.948845500,0,1
4.949485000,1,1
4.959105000,1,0
4.965840000,1,1
4.968302000,0,1
4.968928500,1,1
4.980977000,0,1
4.981652000,1,1
4.999058500,0,1
4.999601000,1,1
5.009608500,0,1
5.010151500,1,1
5.012123000,1,0
5.017851500,1,1
5.020654500,1,0
5.023236000,1,1
5.025097500,0,1
5.025561000,1,1
5.034377000,0,1
5.034862000,1,1
5.048352000,0,1
5.048789000,1,1
5.056859500,0,1
5.057297000,1,1
5.063965500,1,0
5.068193000,1,1
5.069777500,0,1
5.070181000,1,1
5.077741000,0,1
5.078154000,1,1
5.090039000,0,1
