Time [s],crank,cam
0.000000000,0,0
1.288316333,0,1
1.288327167,1,1
1.346182583,0,1
1.346183000,0,0
1.346654750,1,0
1.346654833,0,0
1.854000333,1,0
1.858927667,0,0
1.982151250,1,0
1.986129667,0,0
2.057306667,1,0
2.061306083,0,0
2.121890583,0,1
2.132556250,1,1
2.147899917,1,0
2.187097500,0,0
2.190425750,1,0
2.194295833,0,0
2.258966333,1,0
2.309682333,0,0
2.312671667,1,0
2.316175417,0,0
2.347760167,0,1
2.359808250,0,0
2.369043000,0,1
2.378937417,1,1
2.392247583,1,0
2.427985333,0,0
2.430751500,1,0
2.434360583,0,0
2.497095000,1,0
2.545656667,0,0
2.548426750,1,0
2.551792000,0,0
2.603624083,0,1
2.613297750,1,1
2.631497750,1,0
2.660993167,0,0
2.663693000,1,0
2.667268000,0,0
2.729060583,1,0
2.776770667,0,0
2.779495917,1,0
2.782854583,0,0
2.813213583,0,1
2.825008583,0,0
2.833974417,0,1
2.843776167,1,1
2.858514583,1,0
2.891047583,0,0
2.893754167,1,0
2.897327417,0,0
2.959074417,1,0
3.006694917,0,0
3.009422417,1,0
3.012776167,0,0
3.064079167,0,1
3.073839333,1,1
3.121421500,0,1
3.124117833,1,1
3.127682083,0,1
3.189129917,1,1
3.237015833,0,1
3.239743250,1,1
3.243093000,0,1
3.251046917,0,0
3.273888417,0,1
3.285897500,0,0
3.294947833,0,1
3.304855500,1,1
3.319583667,1,0
3.352910000,0,0
3.355675000,1,0
3.359198083,0,0
3.420672000,1,0
3.468530417,0,0
3.471297333,1,0
3.474637000,0,0
3.527664500,0,1
3.537683917,1,1
3.586560833,0,1
3.589371500,1,1
3.592991833,0,1
3.654471000,1,1
3.702504667,0,1
3.705287500,1,1
3.708615250,0,1
3.716098083,1,1
3.716098167,0,1
3.717152000,0,0
3.739946750,0,1
3.752228167,0,0
3.761391833,0,1
3.771448500,1,1
3.787136583,1,0
3.819902500,0,0
3.822677417,1,0
3.826267750,0,0
3.888090083,1,0
3.936072917,0,0
3.938810417,1,0
3.942130667,0,0
3.994972750,0,1
4.005006500,1,1
4.053966333,0,1
4.056943417,1,1
4.060604083,0,1
4.099683583,1,1
4.117584417,0,1
4.118628583,1,1
4.122239000,1,0
4.133291083,1,1
4.139429167,1,0
4.144436833,1,1
4.148548500,0,1
4.149536583,1,1
4.168785667,0,1
4.169887917,1,1
4.202007750,0,1
4.203074250,1,1
4.224404750,0,1
4.225647833,1,1
4.245038167,1,0
4.257592750,1,1
4.262920167,0,1
4.264219167,1,1
4.293996750,0,1
4.296081250,1,1
4.302385250,0,1
4.302385333,1,1
4.334930500,0,1
4.335764917,1,1
4.351667583,0,1
4.352577167,1,1
4.355864500,1,0
