Time [s],crank,cam
0.000000000,1,1
0.009617083,0,1
0.009947667,1,1
0.016149583,0,1
0.016481000,1,1
0.021698500,1,0
0.025159083,1,1
0.026410167,0,1
0.026743750,1,1
0.032951083,0,1
0.033281583,1,1
0.043215000,0,1
0.043543667,1,1
0.049745167,0,1
0.050072000,1,1
0.051390333,1,0
0.054879667,1,1
0.056871833,1,0
0.058657833,1,1
0.059987583,0,1
0.060322500,1,1
0.066519750,0,1
0.066849750,1,1
0.076772583,0,1
0.077107000,1,1
0.083296667,0,1
0.083627083,1,1
0.088876083,1,0
0.092264583,1,1
0.093536167,0,1
0.093869917,1,1
0.100058500,0,1
0.100391583,1,1
0.110309917,0,1
0.110636000,1,1
0.116823500,0,1
0.117153750,1,1
0.118578083,1,0
0.121954833,1,1
0.123940583,1,0
0.125728750,1,1
0.127060833,0,1
0.127392250,1,1
0.133580333,0,1
0.133910000,1,1
0.143818917,0,1
0.144153333,1,1
0.150340583,0,1
0.150668000,1,1
0.155946750,1,0
0.159314500,1,1
0.160578250,0,1
0.160911000,1,1
0.167102167,0,1
0.167430083,1,1
0.177344000,0,1
0.177674917,1,1
0.183861833,0,1
0.184190500,1,1
0.185628917,1,0
0.188990500,1,1
0.190975417,1,0
0.192767167,1,1
0.194082833,0,1
0.194414583,1,1
0.200600917,0,1
0.200927500,1,1
0.210824750,0,1
0.211155500,1,1
0.217337500,0,1
0.217664083,1,1
0.222976000,1,0
0.226308417,1,1
0.227573917,0,1
0.227900333,1,1
0.234097583,0,1
0.234420667,1,1
0.244333833,0,1
0.244664333,1,1
0.250848500,0,1
0.251177417,1,1
0.252601250,1,0
0.255973917,1,1
0.257956333,1,0
0.259738000,1,1
0.261060333,0,1
0.261395000,1,1
0.267579750,0,1
0.267905750,1,1
0.277805750,0,1
0.278132083,1,1
0.284309000,0,1
0.284636583,1,1
0.289883917,1,0
0.293271083,1,1
0.294538250,0,1
0.294867750,1,1
0.301053333,0,1
0.301385250,1,1
0.311302083,0,1
0.311632250,1,1
0.317813583,0,1
0.318142500,1,1
0.319558333,1,0
0.322923333,1,1
0.324919000,1,0
0.326687333,1,1
0.328031083,0,1
0.328361250,1,1
0.334549333,0,1
0.334874000,1,1
0.344771000,0,1
0.345103667,1,1
0.351283083,0,1
0.351605833,1,1
0.356812667,1,0
0.360229083,1,1
0.361493167,0,1
0.361822583,1,1
0.368000167,0,1
0.368336000,1,1
0.378235500,0,1
0.378566333,1,1
0.384733583,0,1
0.385066000,1,1
0.386387833,1,0
0.389853750,1,1
0.391828417,1,0
0.393610083,1,1
0.394929333,0,1
0.395262750,1,1
0.401436917,0,1
0.401763500,1,1
0.411648583,0,1
0.411974000,1,1
0.418134250,0,1
0.418463833,1,1
0.423701750,1,0
0.427059167,1,1
0.428328583,0,1
0.428657417,1,1
0.434828750,0,1
0.435156667,1,1
0.445039167,0,1
0.445367000,1,1
0.451522750,0,1
0.451852083,1,1
0.453243417,1,0
0.456634417,1,1
0.458617667,1,0
0.460393667,1,1
0.461721083,0,1
0.462049750,1,1
0.468215750,0,1
0.468545917,1,1
0.478417583,0,1
0.478746667,1,1
0.484906083,0,1
0.485229917,1,1
0.490436250,1,0
0.493822250,1,1
0.495090333,0,1
0.495417917,1,1
0.501581417,0,1
0.501913167,1,1
0.511786750,0,1
0.512114417,1,1
0.518265917,0,1
0.518596417,1,1
0.519999167,1,0
0.523360167,1,1
0.525348417,1,0
0.527127667,1,1
0.528453667,0,1
0.528777750,1,1
0.534932583,0,1
0.535266750,1,1
0.545131333,0,1
0.545461667,1,1
0.551616417,0,1
0.551940833,1,1
0.557166917,1,0
0.560531167,1,1
0.561799750,0,1
0.562129667,1,1
0.568295333,0,1
0.568623833,1,1
0.578494167,0,1
0.578821250,1,1
0.584977917,0,1
0.585300750,1,1
0.586694083,1,0
0.590077333,1,1
0.592056333,1,0
0.593827917,1,1
0.595139250,0,1
0.595469583,1,1
0.601623083,0,1
0.601952750,1,1
0.611809333,0,1
0.612134500,1,1
0.618273000,0,1
0.618607750,1,1
0.623848583,1,0
0.627186917,1,1
0.628444583,0,1
0.628770583,1,1
0.634922083,0,1
0.635251083,1,1
0.645097833,0,1
0.645426667,1,1
0.651569333,0,1
0.651895083,1,1
0.653284583,1,0
0.656671083,1,1
0.658635583,1,0
0.660396000,1,1
0.661715833,0,1
0.662043333,1,1
0.668185417,0,1
0.668512333,1,1
0.678336500,0,1
0.678669083,1,1
0.684801000,0,1
0.685127083,1,1
0.690328667,1,0
0.693714417,1,1
0.694959667,0,1
0.695291250,1,1
0.701442083,0,1
0.701768250,1,1
0.711618667,0,1
0.711945250,1,1
0.718083500,0,1
0.718411417,1,1
0.719839333,1,0
0.723170417,1,1
0.725137583,1,0
0.726917667,1,1
0.728232417,0,1
0.728564333,1,1
0.734712750,0,1
0.735036333,1,1
0.744867833,0,1
0.745195500,1,1
0.751327000,0,1
0.751651917,1,1
0.756808000,1,0
0.760204167,1,1
0.761460917,0,1
0.761788917,1,1
0.767927333,0,1
0.768253667,1,1
0.778077750,0,1
0.778405083,1,1
0.784531583,0,1
0.784857333,1,1
0.786256667,1,0
0.789617333,1,1
0.791583167,1,0
0.793346500,1,1
0.794657667,0,1
0.794989833,1,1
0.801125500,0,1
0.801448667,1,1
0.811270500,0,1
0.811594083,1,1
0.817712500,0,1
0.818038333,1,1
0.823274583,1,0
0.826591750,1,1
0.827846917,0,1
0.828174083,1,1
0.834306500,0,1
0.834634250,1,1
0.844447583,0,1
0.844775583,1,1
0.850893167,0,1
0.851220583,1,1
0.852626833,1,0
0.855986500,1,1
0.857951667,1,0
0.859709917,1,1
0.861031917,0,1
0.861356583,1,1
0.867489833,0,1
0.867816083,1,1
0.877628250,0,1
0.877955417,1,1
0.884071000,0,1
0.884398833,1,1
0.889618583,1,0
0.892971250,1,1
0.894218167,0,1
0.894548417,1,1
0.900690667,0,1
0.901014250,1,1
0.910832667,0,1
0.911165417,1,1
0.917286000,0,1
0.917614667,1,1
0.919019167,1,0
