CH	Flags	ID      	DLC	Data                   	Period 	Count	ASCII   	Comment                 
 1	CAN  	     002	  5	72 00 00 07 02         	  9,997	17072	r       	                        
 1	CAN  	     1F9	  8	20 00 14 CD 00 00 00 00	 10,334	16541	        	                        
 1	CAN  	     215	  6	FF F0 FF 00 FF FF      	 20,358	34811	        	                        
 1	CAN  	     216	  1	40                     	 20,236	34811	@       	                        
 1	CAN  	     231	  8	D3 90 00 D3 D3 C2 4C 9E	 10,333	16541	      L 	                        
 1	CAN  	     233	  8	7D 8A 00 18 D5 00 00 00	 10,332	16541	}       	                        
 1	CAN  	     23D	  8	23 00 00 D5 00 17 00 7D	 10,338	16541	#      }	                        
 1	CAN  	     23E	  8	02 60 FF 17 00 D7 00 91	 10,328	16541	 `      	                        
 1	CAN  	     251	  8	10 00 00 01 00 AF 15 37	  9,998	16938	       7	                        
 1	CAN  	     253	  8	02 5D FF 00 00 00 8E 02	 10,000	16938	 ]      	                        
 1	CAN  	     280	  8	03 08 00 00 00 00 CD 40	 19,896	34810	       @	                        
 1	CAN  	     284	  8	00 00 00 00 00 00 15 9B	 20,547	 8469	        	                        
 1	CAN  	     285	  8	00 00 00 00 00 00 15 9C	 20,553	 8469	        	                        
 1	CAN  	     29E	  8	D3 00 00 00 00 03 01 77	 20,554	 8469	       w	                        
 1	CAN  	     2A0	  5	CE 7F FE 7F FF         	 20,554	 8469	      	                        
 1	CAN  	     2A5	  7	00 00 00 20 00 00 00   	 10,022	16883	        	                        
 1	CAN  	     2D1	  7	00 00 00 03 31 F4 02   	  9,853	69620	    1   	                        
 1	CAN  	     2DE	  8	0F 00 00 00 AD FD 03 20	  9,855	69620	        	                        
 1	CAN  	     342	  4	03 2C FF FF            	 30,031	    2	 ,      	                        
 1	CAN  	     354	  8	00 00 00 00 00 00 04 00	 40,457	 4235	        	                        
 1	CAN  	     358	  8	01 00 00 00 02 00 00 00	 99,383	 6982	        	                        
 1	CAN  	     35D	  8	C0 03 00 00 00 00 00 00	 99,794	 6980	        	                        
 1	CAN  	     385	  7	84 00 00 00 00 00 00   	 97,273	 1698	        	                        
 1	CAN  	     512	  4	03 2C FF FF            	 30,514	    2	 ,      	                        
 1	CAN  	     551	  8	73 7C 00 A0 00 02 80 FF	  9,159	16541	s|      	                        
 1	CAN  	     580	  8	00 8E 40 00 00 00 00 00	101,615	 1654	  @     	                        
 1	CAN  	     5C5	  8	44 00 00 00 00 0C 00 00	 99,532	 6962	D       	                        
 1	CAN  	     60D	  8	00 06 00 00 00 00 20 00	 97,492	 6985	        	 BCM_GeneralStatus doors
 1	CAN  	     625	  6	32 00 FF 1D 00 00      	 98,977	 6964	2       	                        
 1	CAN  	     6F7	  8	00 00 00 00 00 00 00 02	  7,482	16882	        	                        
 1	CAN  	     794	  3	00 00 01               	  8,907	16541	        	                        
