CH	Flags	ID      	DLC	Data                   	Period 	Count	ASCII   	Comment                 
 1	CAN  	     002	  5	74 00 00 07 8C         	  9,977	 2954	t       	                        
 1	CAN  	     1F9	  8	00 00 00 00 00 00 00 00	 10,176	 2872	        	                        
 1	CAN  	     215	  6	FF F0 FF 00 FF FF      	 19,921	27816	        	                        
 1	CAN  	     216	  1	40                     	 19,996	27816	@       	                        
 1	CAN  	     231	  8	FE 80 00 FE FE C1 4C 9E	 10,180	 2872	      L 	                        
 1	CAN  	     233	  8	79 00 00 18 00 00 00 00	 10,180	 2872	y       	                        
 1	CAN  	     23D	  8	03 00 00 00 00 B9 08 79	 10,180	 2872	       y	                        
 1	CAN  	     23E	  8	00 60 FF B9 08 D7 00 50	  9,975	 2872	 `     P	                        
 1	CAN  	     251	  8	10 00 00 01 00 2F 17 87	 10,036	 2936	     /  	                        
 1	CAN  	     253	  8	00 5B FF 00 00 00 00 00	 10,039	 2936	 [      	                        
 1	CAN  	     280	  8	03 08 00 00 00 00 92 40	 20,048	27816	       @	                        
 1	CAN  	     284	  8	00 00 00 00 00 00 BD 43	 19,994	 1469	       C	                        
 1	CAN  	     285	  8	00 00 00 00 00 00 BD 44	 19,995	 1469	       D	                        
 1	CAN  	     29E	  8	FE 00 00 00 00 03 01 A2	 19,994	 1469	        	                        
 1	CAN  	     2A0	  5	CF 7F FC 7F FF         	 19,994	 1469	      	                        
 1	CAN  	     2A5	  7	00 00 00 20 00 00 00   	 10,023	 2912	        	                        
 1	CAN  	     2D1	  7	00 00 00 02 31 EB 02   	 10,268	55631	    1   	                        
 1	CAN  	     2DE	  8	0F 00 03 00 00 00 03 20	 10,267	55631	        	                        
 1	CAN  	     342	  4	03 2C FF FF            	 30,031	    2	 ,      	                        
 1	CAN  	     354	  8	00 00 00 00 00 00 04 00	 39,983	  735	        	                        
 1	CAN  	     358	  8	01 00 00 20 02 00 00 00	 99,815	 5579	        	                        
 1	CAN  	     35D	  8	C0 03 00 00 00 00 00 00	 99,899	 5577	        	                        
 1	CAN  	     385	  7	84 00 00 00 00 00 00   	 98,895	  295	        	                        
 1	CAN  	     512	  4	03 2C FF FF            	 30,514	    2	 ,      	                        
 1	CAN  	     551	  8	6F 00 00 A0 00 00 80 FF	  9,859	 2872	o       	                        
 1	CAN  	     580	  8	00 00 40 00 00 00 00 00	102,643	  288	  @     	                        
 1	CAN  	     5C5	  8	44 00 00 00 00 0C 00 00	101,962	 5563	D       	                        
 1	CAN  	     60D	  8	00 06 00 00 00 00 20 00	 99,899	 5582	        	 BCM_GeneralStatus doors
 1	CAN  	     625	  6	32 00 FF 9D 00 00      	100,220	 5565	2       	                        
 1	CAN  	     6F7	  8	00 00 00 00 00 00 00 03	 10,676	 2911	        	                        
 1	CAN  	     794	  3	00 00 00               	 11,525	 2872	        	                        
