CH	Flags	ID      	DLC	Data                   	Period   	Count	ASCII   	Comment                 
 1	CAN  	     002	  5	77 00 00 07 8F         	    9,971	 3688	w       	                        
 1	CAN  	     215	  6	FF FC FF 00 FF FF      	   19,995	 2552	        	                        
 1	CAN  	     216	  1	40                     	   19,993	 2552	@       	                        
 1	CAN  	     251	  8	10 00 00 01 00 EF 12 30	    9,998	 3663	       0	                        
 1	CAN  	     253	  8	03 5E FF 00 00 00 00 00	   10,045	 3663	 ^      	                        
 1	CAN  	     280	  8	03 08 00 00 00 00 8F 40	   20,113	 2553	       @	                        
 1	CAN  	     284	  8	00 00 00 00 00 00 29 AF	   20,002	 1833	      ) 	                        
 1	CAN  	     285	  8	00 00 00 00 00 00 29 B0	   20,002	 1833	      ) 	                        
 1	CAN  	     29E	  8	00 00 C0 00 00 03 01 64	   20,003	 1833	       d	                        
 1	CAN  	     2A0	  5	CE 7F FC 7F FF         	   20,003	 1833	      	                        
 1	CAN  	     2A5	  7	00 40 00 20 00 00 00   	   10,031	 3638	 @      	                        
 1	CAN  	     2D1	  7	00 00 00 01 31 ED 02   	   10,342	 5106	    1   	                        
 1	CAN  	     2DE	  8	0F 00 02 00 00 00 00 00	   10,341	 5106	        	                        
 1	CAN  	     354	  8	00 00 00 00 20 00 04 00	   39,998	  917	        	                        
 1	CAN  	     358	  8	01 00 00 20 02 00 00 00	   99,804	  513	        	                        
 1	CAN  	     35D	  8	C0 03 00 00 00 00 00 00	   99,766	  513	        	                        
 1	CAN  	     385	  7	84 00 00 00 00 00 00   	   99,803	  368	        	                        
 1	CAN  	     5C5	  8	44 00 00 00 00 0C 00 00	  100,247	  511	D       	                        
 1	CAN  	     60D	  8	98 06 00 00 00 00 20 00	   99,766	  513	        	 BCM_GeneralStatus doors
 1	CAN  	     625	  6	32 00 FF 9D 00 00      	  100,151	  513	2       	                        
 1	CAN  	     682	  1	00                     	    0,000	    1	        	                        
 1	CAN  	     6F7	  8	00 00 00 00 00 00 00 01	    9,436	 3637	        	                        
