Bus;Dir;ID;Count;Time;Len;D0;D1;D2;D3;D4;D5;D6;D7;Period
CAN 1;In;0x540;24557;567.5958;8;10;00;FF;00;FF;00;02;46;0.0097
CAN 1;In;0x548;24156;567.5958;3;61;00;00;;;;;;0.0097
CAN 1;Out;0x38A;14275;567.5989;4;7C;00;7C;00;;;;;0.0196
CAN 1;Out;0x480;14093;567.5989;8;72;00;00;80;41;00;02;B1;0.0196
CAN 1;Out;0x3A0;13987;567.5990;8;B6;0D;52;96;CD;16;A8;0F;0.0196
CAN 1;Out;0x5A0;13674;567.5992;8;7F;00;00;D0;00;10;08;AB;0.0194
CAN 1;Out;0x4A8;13618;567.5997;8;43;00;90;01;00;00;C0;12;0.0199
CAN 1;Out;0x1AC;13629;567.5997;8;B7;8D;00;00;69;41;00;12;0.0197
CAN 1;Out;0x050;13101;567.5999;4;00;F0;D0;20;;;;;0.0194
CAN 1;Out;0x0C2;12990;567.6002;8;00;00;00;00;80;80;00;4B;0.0197
CAN 1;Out;0x320;12965;567.6003;8;64;00;89;10;00;0D;00;80;0.0196
CAN 1;Out;0x448;24651;567.6005;5;62;00;00;0A;90;;;;0.0113
CAN 1;Out;0x280;24442;567.6011;8;01;00;A4;0E;00;00;0C;00;0.0118
CAN 1;Out;0x288;24246;567.6011;8;8B;00;13;00;00;4C;74;00;0.0118
CAN 1;Out;0x380;24335;567.6013;8;00;56;00;6C;B0;00;25;00;0.0117
CAN 1;Out;0x588;24136;567.6014;8;00;80;7C;00;00;00;00;00;0.0117
CAN 1;Out;0x488;24053;567.6018;8;22;00;00;7C;FE;FF;FF;A0;0.0115
CAN 1;Out;0x4A0;23849;567.6020;8;00;00;00;00;00;00;00;00;0.0116
CAN 1;In;0x440;25049;567.6157;8;00;60;00;FE;7F;00;98;04;0.0203
CAN 1;In;0x540;24558;567.6158;8;30;00;FF;00;FF;00;02;46;0.0200
CAN 1;In;0x548;24157;567.6159;3;61;00;00;;;;;;0.0200
CAN 1;Out;0x38A;14276;567.6196;4;8C;00;8C;00;;;;;0.0207
CAN 1;Out;0x480;14094;567.6196;8;72;00;00;80;41;00;02;B1;0.0207
CAN 1;Out;0x3A0;13988;567.6196;8;B6;0E;52;96;CD;16;A8;0F;0.0207
CAN 1;Out;0x5A0;13675;567.6200;8;7F;00;00;E0;00;10;08;AB;0.0209
CAN 1;Out;0x4A8;13619;567.6201;8;5B;00;90;01;00;00;D0;1A;0.0204
CAN 1;Out;0x1AC;13630;567.6203;8;B4;8E;00;00;69;41;00;12;0.0206
CAN 1;Out;0x050;13102;567.6210;4;00;F0;E0;10;;;;;0.0211
CAN 1;Out;0x0C2;12991;567.6210;8;00;00;00;00;80;90;00;3B;0.0208
CAN 1;Out;0x320;12966;567.6210;8;64;00;89;10;00;0E;00;80;0.0208
CAN 1;Out;0x448;24652;567.6214;5;62;00;00;0C;90;;;;0.0209
CAN 1;Out;0x280;24443;567.6214;8;01;00;94;0E;00;00;0C;00;0.0203
CAN 1;Out;0x288;24247;567.6218;8;FE;00;13;00;00;4C;74;00;0.0207
CAN 1;Out;0x380;24336;567.6220;8;00;56;00;6C;B0;00;25;00;0.0206
CAN 1;Out;0x588;24137;567.6226;8;00;80;7C;00;00;00;00;00;0.0212
CAN 1;Out;0x488;24054;567.6226;8;42;00;00;7C;FE;FF;FF;C0;0.0208
CAN 1;Out;0x4A0;23850;567.6226;8;00;00;00;00;00;00;00;00;0.0207
CAN 1;Out;0x1A0;22545;567.6229;8;00;4A;00;00;FE;FE;00;38;0.0325
CAN 1;Out;0x2A0;22348;567.6233;8;00;00;00;00;00;00;C0;C0;0.0324
CAN 1;Out;0x0AE;21998;567.6233;8;C3;C0;00;00;00;00;03;00;0.0324
CAN 1;Out;0x524;10253;567.6236;8;00;00;ED;FF;00;00;80;04;0.0403
CAN 1;Out;0x523;10274;567.6245;8;00;00;00;00;00;00;64;00;0.0407
CAN 1;Out;0x522;10290;567.6245;8;23;04;08;00;00;00;00;00;0.0407
CAN 1;Out;0x521;10288;567.6245;8;C2;03;00;00;79;00;00;00;0.0399
CAN 1;Out;0x520;10284;567.6248;8;A5;03;00;00;0E;03;C2;03;0.0402
CAN 1;In;0x440;25050;567.6255;8;00;60;00;FE;7F;00;A0;04;0.0098
CAN 1;In;0x540;24559;567.6261;8;40;00;FF;00;FF;00;02;0F;0.0103
CAN 1;In;0x548;24158;567.6263;3;61;00;00;;;;;;0.0104
CAN 1;Out;0x448;24653;567.6294;5;62;00;00;0D;90;;;;0.0080
CAN 1;Out;0x280;24444;567.6294;8;01;00;94;0E;00;00;0C;00;0.0080
CAN 1;Out;0x288;24248;567.6294;8;FE;00;13;00;00;4C;74;00;0.0077
CAN 1;Out;0x380;24337;567.6296;8;00;56;00;6C;B0;00;25;00;0.0076
CAN 1;Out;0x588;24138;567.6303;8;00;80;7C;00;00;00;00;00;0.0077
CAN 1;Out;0x488;24055;567.6303;8;85;00;00;7C;FE;FF;28;D0;0.0077
CAN 1;Out;0x4A0;23851;567.6305;8;00;00;00;00;00;00;00;00;0.0079
CAN 1;Out;0x1A0;22546;567.6309;8;00;4A;00;00;FE;FE;00;39;0.0080
CAN 1;Out;0x2A0;22349;567.6310;8;00;00;00;00;00;00;D0;D0;0.0077
CAN 1;Out;0x0AE;21999;567.6312;8;D3;D0;00;00;00;00;03;00;0.0079
CAN 1;In;0x440;25051;567.6355;8;00;60;00;FE;7F;00;A8;04;0.0100
CAN 1;In;0x540;24560;567.6358;8;50;00;FF;00;FF;00;02;0F;0.0097
CAN 1;In;0x548;24159;567.6359;3;65;CA;FE;;;;;;0.0096
CAN 1;Out;0x321;2864;567.6393;1;AC;;;;;;;;0.1012
CAN 1;Out;0x390;2808;567.6396;8;01;00;50;00;00;00;00;00;0.0992
CAN 1;Out;0x38A;14277;567.6396;4;9C;00;9C;00;;;;;0.0201
CAN 1;Out;0x480;14095;567.6396;8;72;00;00;80;41;00;02;B1;0.0201
CAN 1;Out;0x3A0;13989;567.6400;8;B6;0F;52;96;CD;16;A8;0F;0.0204
CAN 1;Out;0x5A0;13676;567.6400;8;7F;00;00;F0;00;10;08;AB;0.0200
CAN 1;Out;0x4A8;13620;567.6408;8;5F;00;90;01;00;00;E0;2E;0.0207
CAN 1;Out;0x1AC;13631;567.6409;8;B5;8F;00;00;69;41;00;12;0.0205
