Address;Name;Id;Size;Comment
"$00000";"Hexdump";"";""""
"$1D3D62";"Cooling curve depending on the shutdown time";"ABKKATTAB";"6x1";""
"$1D7F54";"Init-Wert  Start-Zähler für Erkennung Benzin im Öl";"ABOINI";"1x1";""
"$1D7F55";"Threshold number of starts with petrol in oil for reduced LRA";"ABOLRAR";"1x1";""
"$1D7F56";"Max. Number of start counters for detection of petrol in oil";"ABOMX";"1x1";""
"$1C6436";"BM counter for speed = 0 detection after crash shutdown";"ACSZNBM";"1x1";""
"$1C6432";"PH counter for speed = 0 detection after crash shutdown";"ACSZRPH";"1x1";""
"$1C2E00";"Maximaler ADC-Wert bei nach low verzogenem ADC-Kanal bei der ADC-Prüfung";"ADCC_MX_UM";"1x1";""
"$1C2E01";"Error time with implausible ADC values for sp1s";"ADCC_T_UM";"1x1";""
"$1C2E02";"Fehlerzeit bei defekter ADC-Queue in der Queueüberwachung";"ADCQ_T_UM";"1x1";""
"$1C2E04";"Minimale Testspannung im ADC-Test";"ADCTSMN_UM";"1x1";""
"$1C2E06";"Maximale Testspannung im ADC-Test";"ADCTSMX_UM";"1x1";""
"$1C2E03";"Fehlerzeit bei fehlerhafter Testspannung im ADC-Test";"ADCTS_T_UM";"1x1";""
"$1CA0F2";"Anzahl DCY zum Initialisieren der Dauerlaufzähler";"ADCY";"1x1";""
"$1D7EA6";"Anzahl Erreichen Eingriffsanschlag  bis Abschaltung ZGST";"AELZGOV";"1x1";""
"$1D8DD2";"Anzahl der Fehler, bis Eintrag in Fehlerspeicher erfolgt";"AFKPE";"1x1";""
"$1DC44C";"Number of driving cycles with high Cooling capacity for Stuck-Check TMOT";"AFZBKLH";"1x1";""
"$1DC44D";"Anzahl Fahrzyklen mit Bed. Kühlleistung niedrig für Stuck-Check TMOT";"AFZBKLN";"1x1";""
"$1DC3FE";"Number of driving cycles for plausibility check of fixed TANS signal";"AFZPTAFX";"1x1";""
"$1E0B92";"Number of gear changes for clutch switch diagnosis";"AGANGW";"1x1";""
"$1CA12E";"Misfiring frequency to reach the legal exhaust gas limits";"AHEAGW";"1x1";""
"$1CA130";"Misfiring frequency to reach the legal exhaust gas limits";"AHEAGWS";"1x1";""
"$1CA148";"Aussetzerhäufigkeit (Abgaslimit) erstes Intervall bei Katheizen";"AHEAGWSK_0_A";"1x1";""
"$1CA14A";"Aussetzerhäufigkeit (Abgaslimit) erstes Intervall bei Katheizen";"AHEAGWSK_1_A";"1x1";""
"$1CA14C";"Aussetzerhäufigkeit (Abgaslimit) erstes Intervall bei Katheizen";"AHEAGWSK_2_A";"1x1";""
"$1CA132";"Missing frequency to achieve the masking of further functions";"AHEARV";"1x1";""
"$1CA134";"Aussetzerhäufigkeit pro Bank zum Erreichen einer Kraftstoffabschaltung";"AHEKABB";"4x1";""
"$1CA13C";"Dropout frequency for reaching cat damage in the 1st interval bank 1";"AHEKS1B1";"1x1";""
"$1CA13E";"Aussetzerhäufigkeit zum Erreichen einer Katschädigung im 1. Intervall Bank 2";"AHEKS1B2";"1x1";""
"$1CA140";"Aussetzerhäufigkeit zum Erreichen einer Katalysatorschädigung Bank 1";"AHEKSB1";"1x1";""
"$1CA142";"Aussetzerhäufigkeit zum Erreichen einer Katalysatorschädigung Bank 2";"AHEKSB2";"1x1";""
"$1D6314";"Erkannte Aussetzerhäufigkeit zur Abschaltung der Nachstartadaption";"AHENSADMX";"1x1";""
"$1DC130";"Anzahl Intervalle mit Katschädigung für Ti-Abschaltung";"AINTKAN";"8x1";""
"$1E0B93";"Anzahl Kupplung betätigt für Diagnose Kupplungsschalter";"AKUPPLB";"1x1";""
"$1CA06C";"Anfangswert für Lernfilter bei fuel-on/fuel-off Adaption";"ALFO";"1x1";""
"$1CA008";"Anfangswert für Lernfilter bei fuel-off Adaption";"ALFOF";"1x1";""
"$1DC3FF";"Anzahl Leerlaufzyklen für Plausibilitäts-Check fixiertes TANS-Signal";"ALLPTAFX";"1x1";""
"$1DB2E4";"Anzahl Verbrennungen für Ausblendungen nach erkanntem Auss., drehzahlabhängig";"ANALUN";"8x1";""
